target_method,env,requests_per_sec,p95_latency_ms,avg_latency_ms
pos_059_create_sale,prod,29.68,780.0,557.96
pos_060_update_product,extreme,46.76,280.0,458.94
pos_060_update_product,high,113.25,180.0,128.73
pos_060_update_product,low,39.0,21.0,17.86
pos_060_update_product,medium,101.33,35.0,23.1
pos_060_update_product,prod,91.76,83.0,47.45
pos_061_retrieve_sales,extreme,9.81,950.0,2143.52
pos_061_retrieve_sales,high,13.54,30000.0,2365.36
pos_061_retrieve_sales,low,38.28,34.0,21.64
pos_061_retrieve_sales,medium,84.16,120.0,67.97
pos_061_retrieve_sales,prod,58.96,270.0,183.49
pos_062_create_product,extreme,23.23,3900.0,1201.81
pos_062_create_product,high,3.7,30000.0,8901.75
pos_062_create_product,low,37.65,130.0,32.66
pos_062_create_product,medium,18.87,3300.0,1011.09
pos_062_create_product,prod,23.85,2100.0,760.47
pos_063_create_order_from_cart,extreme,2.41,57000.0,18305.79
pos_063_create_order_from_cart,high,21.24,5700.0,1344.87
pos_063_create_order_from_cart,low,49.94,160.0,73.73
pos_063_create_order_from_cart,medium,3.6,30000.0,5947.9
pos_063_create_order_from_cart,prod,6.61,5800.0,3000.28
pos_064_admin_or_seller,extreme,1.56,61000.0,24951.29
pos_064_admin_or_seller,high,2.47,54000.0,13316.05
pos_064_admin_or_seller,low,40.2,28.0,15.08
pos_064_admin_or_seller,medium,22.99,2200.0,791.1
pos_064_admin_or_seller,prod,23.18,2200.0,784.08
pos_065_login,extreme,3.32,18000.0,13288.37
pos_065_login,high,3.62,13000.0,9556.51
pos_065_login,low,3.7,3300.0,1971.39
pos_065_login,medium,3.2,9100.0,6486.44
pos_065_login,prod,3.19,10000.0,6485.36
pos_066_signup,extreme,3.34,25000.0,13110.93
pos_066_signup,high,3.59,17000.0,9479.54
pos_066_signup,low,3.72,3100.0,2008.74
pos_066_signup,medium,3.18,11000.0,6357.21
pos_066_signup,prod,3.2,11000.0,6353.94
pos_067_create_order_controller,extreme,2.45,52000.0,14989.04
pos_067_create_order_controller,high,2.91,33000.0,11684.25
pos_067_create_order_controller,low,51.19,160.0,68.93
pos_067_create_order_controller,medium,3.51,6000.0,3510.19
pos_067_create_order_controller,prod,8.07,5400.0,2499.54
pos_068_user_crud,extreme,73.45,730.0,448.26
pos_068_user_crud,high,77.82,600.0,280.09
pos_068_user_crud,low,38.5,140.0,24.36
pos_068_user_crud,medium,58.29,670.0,187.96
pos_068_user_crud,prod,82.6,500.0,73.57
pos_069_crud_base_create,extreme,3.68,29000.0,11763.31
pos_069_crud_base_create,high,3.96,15000.0,8617.2
pos_069_crud_base_create,low,3.84,2900.0,1987.63
pos_069_crud_base_create,medium,3.47,9900.0,5902.54
pos_069_crud_base_create,prod,3.85,9200.0,5381.78
pos_072_login,extreme,4.33,25000.0,10130.46
pos_072_login,high,3.59,21000.0,9336.1
pos_072_login,low,3.85,4000.0,1932.29
pos_072_login,medium,4.15,9400.0,4974.75
pos_072_login,prod,3.35,12000.0,6139.41
pos_073_users_controller,extreme,65.04,730.0,535.32
pos_073_users_controller,high,69.45,610.0,337.7
pos_073_users_controller,low,37.61,240.0,31.86
pos_073_users_controller,medium,59.41,650.0,183.77
pos_073_users_controller,prod,86.49,400.0,63.44
pos_074_db_setup,extreme,3.66,32000.0,11714.13
pos_074_db_setup,high,3.61,21000.0,9052.06
pos_074_db_setup,low,3.42,4100.0,2241.66
pos_074_db_setup,medium,4.04,11000.0,4981.38
pos_074_db_setup,prod,3.55,10000.0,5675.44
pos_075_user_db_create,extreme,3.58,32000.0,11914.57
pos_075_user_db_create,high,3.75,27000.0,8941.86
pos_075_user_db_create,low,3.54,5100.0,2180.13
pos_075_user_db_create,medium,4.05,11000.0,5089.69
pos_075_user_db_create,prod,3.57,10000.0,5678.85
pos_078_manager_create,extreme,3.7,32000.0,11869.71
pos_078_manager_create,high,3.67,24000.0,9094.72
pos_078_manager_create,low,3.51,4300.0,2154.1
pos_078_manager_create,medium,4.02,10000.0,5031.06
pos_078_manager_create,prod,3.64,11000.0,5812.29
pos_079_manager_authenticate,extreme,3.72,35000.0,11571.72
pos_079_manager_authenticate,high,3.8,23000.0,8770.04
pos_079_manager_authenticate,low,3.65,3900.0,2006.93
pos_079_manager_authenticate,medium,4.19,5900.0,4961.28
pos_079_manager_authenticate,prod,3.7,6800.0,5602.13
pos_080_authenticator_me,extreme,83.32,690.0,372.92
pos_080_authenticator_me,high,123.82,340.0,102.68
pos_080_authenticator_me,low,37.92,180.0,25.53
pos_080_authenticator_me,medium,98.65,16.0,31.95
pos_080_authenticator_me,prod,93.06,28.0,44.07
pos_081_backend_logout,extreme,91.71,620.0,320.36
pos_081_backend_logout,high,129.53,290.0,88.6
pos_081_backend_logout,low,38.28,190.0,27.21
pos_081_backend_logout,medium,95.55,130.0,38.26
pos_081_backend_logout,prod,94.74,11.0,41.37
pos_082_register_controller,extreme,3.52,30000.0,12211.85
pos_082_register_controller,high,3.66,27000.0,8955.03
pos_082_register_controller,low,3.45,4200.0,2162.43
pos_082_register_controller,medium,4.08,11000.0,4945.37
pos_082_register_controller,prod,3.5,12000.0,5665.09
pos_083_me_controller,extreme,93.09,580.0,312.92
pos_083_me_controller,high,124.13,330.0,101.04
pos_083_me_controller,low,38.74,180.0,24.46
pos_083_me_controller,medium,95.55,140.0,37.03
pos_083_me_controller,prod,93.82,14.0,42.13
pos_084_forgot_password_controller,extreme,4.34,37000.0,9556.33
